"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.314280917E0,-1.398040026E0,-4.891870662E0,9.655735248E-1,5.178537122E0
1.324223917E0,-7.750367403E-1,-3.067924710E0,-2.236051279E-1,3.172198485E0
1.334166917E0,-7.475881559E-1,-1.476750858E0,-1.732159869E0,2.395842015E0
1.344109917E0,-1.326411635E0,5.831369698E-1,-2.678303096E0,3.045114780E0
1.354052917E0,-2.260119004E0,3.248132973E0,-3.043486857E0,4.992125596E0
1.363995917E0,-3.792836194E0,5.620364150E0,-3.663708622E0,7.706935866E0
1.373938917E0,-5.336005867E0,4.818146628E0,-3.583560545E0,8.033019465E0
1.383882917E0,-5.926889813E0,3.810307674E0,-1.001763697E0,7.116881194E0
1.393825917E0,-6.064249095E0,4.439487374E0,-3.365142775E-1,7.523124822E0
1.403768917E0,-5.886059875E0,4.654525747E0,-7.788432777E-1,7.544329502E0
1.413711917E0,-5.188194687E0,5.479774282E0,-4.625580275E-1,7.560373683E0
1.423654917E0,-3.784431406E0,4.748327950E0,-1.090172428E0,6.169036822E0
1.433597917E0,-2.013154249E0,2.541939595E0,-1.145207006E0,3.438858244E0
1.443540917E0,-8.347485065E-2,1.220812674E0,-1.167601258E0,1.691343943E0
1.453483917E0,2.625162431E0,-1.053948050E0,-2.580271018E0,3.828848757E0
1.463426917E0,5.370350658E0,-3.071987940E0,-2.872291492E0,6.821131468E0
1.473369917E0,6.839255430E0,-4.773265155E0,-3.123535824E0,8.905950321E0
1.483312917E0,8.050169352E0,-6.472404628E0,-3.239275026E0,1.082543999E1
1.493255917E0,9.481414547E0,-6.676055548E0,-2.591958432E0,1.188213735E1
1.503198917E0,9.074983943E0,-6.277348530E0,-1.888711174E0,1.119498406E1
1.513141917E0,7.520354896E0,-4.980872301E0,-2.180736912E0,9.280109920E0
1.523084917E0,6.439328098E0,-3.972732800E0,-1.765966716E0,7.769568244E0
1.533027917E0,6.185851300E0,-3.744779098E0,-4.352614707E-1,7.244141036E0
1.542970917E0,6.590694385E0,-4.504296743E0,-3.845628950E-1,7.992110500E0
1.552913917E0,6.830033786E0,-4.780625630E0,-2.079910156E-1,8.339484588E0
1.562856917E0,5.864446228E0,-4.072940628E0,9.356521529E-1,7.201112405E0
1.572799917E0,7.107278931E-1,-2.886230377E0,4.272644677E0,5.204896970E0
1.582743917E0,-6.190827865E0,-1.565416574E-2,5.853993745E0,8.520319094E0
1.592686917E0,-7.539516222E0,5.366506698E0,3.917479828E0,1.004939537E1
1.602629917E0,-6.422799189E0,9.974373418E0,1.909127605E0,1.201604106E1
1.612572917E0,-8.379210888E0,1.039446546E1,1.666292739E0,1.345483626E1
1.622515917E0,-1.092154166E1,6.591995391E0,2.308206798E0,1.296388422E1
1.632458917E0,-1.194792681E1,4.141312121E0,-6.311888033E-1,1.266103552E1
1.642401917E0,-1.176774837E1,4.300487949E0,2.420010531E-1,1.253126741E1
