"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.167154542E0,-1.172894157E0,5.784052860E0,-4.129314219E0,7.202928856E0
2.177098542E0,-2.167176341E0,3.665977927E0,-2.344114841E0,4.861164659E0
2.187042542E0,-2.030844123E0,2.960231861E0,-1.905176641E0,4.064111042E0
2.196986542E0,-1.756757644E0,3.954667243E0,-3.492358307E0,5.560769458E0
2.206930542E0,-1.291026332E0,5.586017021E0,-4.999531351E0,7.606947408E0
2.216874542E0,-8.007753065E-1,6.770881013E0,-5.558158547E0,8.796544618E0
2.226818542E0,-7.895919219E-1,7.592628821E0,-6.000663548E0,9.709759566E0
2.236762542E0,-9.563486651E-1,7.985633633E0,-6.758108940E0,1.050509323E1
2.246706542E0,-1.261613814E0,8.497666122E0,-7.468375488E0,1.138326102E1
2.256650542E0,-5.224917687E-1,6.896251749E0,-8.117308837E0,1.066405123E1
2.266594542E0,-2.757610929E0,5.154111852E0,-8.655601171E0,1.044455450E1
2.276538542E0,-3.032737628E0,3.211492565E0,-9.790259800E0,1.074059444E1
2.286482542E0,-4.054580371E0,1.013662781E0,-9.962860250E0,1.080396772E1
2.296426542E0,-3.610037615E0,-8.303016990E-1,-8.559308639E0,9.326496494E0
2.306370542E0,-2.291585356E0,-2.962303530E0,-6.233894362E0,7.272416694E0
2.316314542E0,-5.328792011E-1,-3.920245854E0,-4.454155700E0,5.957498703E0
2.326258542E0,1.577606265E0,-4.200665452E0,-3.416811696E0,5.639949817E0
2.336202542E0,2.821486497E0,-5.121244653E0,-2.666349926E0,6.426301796E0
2.346146542E0,3.546680402E0,-5.401189458E0,-1.693379088E0,6.679769619E0
2.356090542E0,3.854567296E0,-4.428508642E0,6.958563772E-1,5.912156454E0
2.366034542E0,3.830034718E0,-2.766171545E0,5.318414519E0,7.113817818E0
2.375978542E0,2.210997714E0,-1.252355479E0,1.059503314E1,1.089548679E1
2.385922542E0,1.556671479E0,2.136327016E-1,1.444400144E1,1.452921342E1
2.395866542E0,5.222361138E0,9.114283079E-1,1.736821854E1,1.815926135E1
2.405810542E0,5.512898759E0,-1.778306680E0,1.799713804E1,1.890638530E1
2.415754542E0,5.019978479E0,-3.702098517E0,1.430938333E1,1.560974595E1
2.425698542E0,4.030157720E0,-4.325532158E0,1.124739880E1,1.270654869E1
2.435641542E0,2.610752553E0,-3.755565457E0,7.879556955E0,9.110857183E0
2.445585542E0,1.782722058E0,-1.778579160E0,3.918347847E0,4.657777541E0
2.455529542E0,1.526327353E0,4.241388971E-1,9.408219686E-1,1.842475229E0
2.465473542E0,6.544769476E-1,1.879036079E0,-3.322931725E-1,2.017308953E0
2.475417542E0,-1.616502236E0,2.416728489E0,-6.428744638E-1,2.977741366E0
2.485361542E0,-5.400088427E0,1.823327901E0,-1.208028907E0,5.826217769E0
2.495305542E0,-9.039161561E0,-1.004318930E0,-4.696857834E0,1.023599393E1
2.505249542E0,-9.587865447E0,-5.978774496E0,-8.446363821E0,1.410723113E1
2.515193542E0,-8.309262986E0,-9.136278550E0,-9.548056433E0,1.561027927E1
2.525137542E0,-5.950719556E0,-9.719735363E0,-8.177638654E0,1.402704861E1
