"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.749159042E0,6.106554285E-2,7.366380751E-1,4.957784716E-1,8.900342393E-1
2.759232042E0,3.546695897E-1,8.092797893E-1,5.383402812E-1,1.034666397E0
2.769305042E0,6.342879738E-1,7.714640915E-1,5.098619290E-1,1.121355102E0
2.779378042E0,8.633120088E-1,6.401864988E-1,3.006526460E-1,1.116036913E0
2.789451042E0,1.061368020E0,5.230205762E-1,7.422097407E-2,1.185563727E0
2.799524042E0,1.183495598E0,4.667779630E-1,-5.757994451E-2,1.273522260E0
2.809597042E0,1.236035169E0,4.801230633E-1,-1.377014170E-1,1.333140194E0
2.819670042E0,1.196826372E0,4.406116730E-1,-3.891387067E-1,1.333402019E0
2.829743042E0,1.009208079E0,4.301884264E-1,-7.603988206E-1,1.334829351E0
2.839816042E0,7.463023531E-1,5.130042958E-1,-1.018095555E0,1.362592811E0
2.849889042E0,6.567180392E-1,6.341866708E-1,-1.160553024E0,1.476602397E0
2.859961042E0,7.475644746E-1,7.258441150E-1,-1.232224685E0,1.613716207E0
2.870034042E0,9.315295735E-1,8.102130049E-1,-1.237130499E0,1.747765525E0
2.880107042E0,1.080566037E0,8.188563591E-1,-1.157382079E0,1.782605389E0
2.890180042E0,1.144713355E0,8.568252540E-1,-9.605857037E-1,1.722568743E0
2.900253042E0,1.183799361E0,8.643243080E-1,-7.197455422E-1,1.632933275E0
2.910326042E0,1.228857858E0,7.815762663E-1,-3.850100608E-1,1.506381705E0
2.920399042E0,1.343443551E0,5.846595848E-1,4.355349742E-2,1.465798182E0
2.930472042E0,1.641643070E0,1.742493653E-1,-2.245627557E-1,1.666068199E0
2.940545042E0,1.919610932E0,8.055065811E-2,-8.490822248E-1,2.100555917E0
2.950618042E0,2.136408585E0,-4.839506507E-2,-1.458089177E0,2.587007494E0
2.960691042E0,2.242282365E0,5.982286334E-3,-1.679095802E0,2.801290543E0
2.970764042E0,2.182467541E0,1.317594033E-1,-1.720756629E0,2.782360236E0
2.980837042E0,1.773602741E0,2.021867770E-1,-1.703612008E0,2.467557507E0
2.990910042E0,1.168030882E0,3.633401334E-2,-1.687993364E0,2.053031393E0
3.000983042E0,7.136028229E-1,-3.773968399E-2,-1.926704481E0,2.054955822E0
3.011056042E0,3.302210654E-1,5.943694711E-3,-2.202475251E0,2.227100921E0
3.021129042E0,8.234458387E-2,-1.225137860E-1,-2.177474458E0,2.182472284E0
3.031202042E0,-2.080439329E-3,-4.367969495E-1,-1.910242669E0,1.959546620E0
3.041275042E0,7.438447684E-2,-6.473733115E-1,-1.438714428E0,1.579406363E0
3.051348042E0,5.057483397E-1,-8.937884277E-1,-6.616359861E-1,1.221638782E0
3.061421042E0,1.274855857E0,-1.108658985E0,-7.654999316E-2,1.691225030E0
3.071494042E0,1.990393670E0,-1.181024711E0,2.533341265E-1,2.328232056E0
3.081566042E0,2.412961712E0,-1.325125247E0,5.502949136E-1,2.807341383E0
3.091639042E0,2.583293736E0,-1.450427570E0,5.999570704E-1,3.022762834E0
3.101712042E0,2.403928641E0,-1.169561829E0,1.915699875E-1,2.680195300E0
3.111785042E0,1.912889557E0,-8.590501195E-1,-2.117365958E-1,2.107592454E0
3.121858042E0,1.021137130E0,-9.618938720E-1,-4.257417651E-1,1.466020774E0
3.131931042E0,1.165122038E-1,-9.515016156E-1,-5.612444097E-1,1.110822085E0
3.142004042E0,-5.019331777E-1,-1.100287526E0,-5.716863674E-1,1.337682645E0
3.152077417E0,-8.633146401E-1,-1.416945829E0,-1.928050657E-1,1.670395595E0
3.162150417E0,-9.466107121E-1,-1.936003162E0,-4.410741878E-1,2.199710555E0
