"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.182500250E0,4.322977509E0,-1.220691052E0,9.153067660E-1,4.584321942E0
1.192573250E0,4.636521585E0,-6.033014584E-2,8.876060204E-1,4.721103323E0
1.202647250E0,4.474571838E0,2.647689779E-1,5.362330909E-1,4.514359497E0
1.212720250E0,4.321387067E0,7.282525831E-1,1.427127585E0,4.608842713E0
1.222794250E0,2.949886968E0,6.794297943E-1,1.609447132E0,3.428378339E0
1.232867250E0,1.791893855E0,1.784743587E0,1.642054861E0,3.015383462E0
1.242940250E0,-4.660815597E-3,2.758926260E0,8.026955321E-2,2.760097649E0
1.253014250E0,-2.504260722E0,2.790832177E0,-2.686199176E-1,3.759284861E0
1.263087250E0,-4.458386160E0,8.091811176E-1,3.385026231E-2,4.531349366E0
1.273161250E0,-4.359542488E0,9.107944697E-2,7.454708791E-1,4.423757792E0
1.283234250E0,-4.070766633E0,1.620880339E0,3.003151009E0,5.311996803E0
1.293308250E0,-2.607046587E0,-6.749107736E-1,3.856300703E0,4.703536071E0
1.303381250E0,1.725516263E0,-3.302722578E0,3.344298620E0,5.006966753E0
1.313455250E0,4.463142285E0,-3.478008947E0,4.735385138E0,7.378350608E0
1.323528250E0,1.889003828E0,-2.319066246E0,4.780855426E0,5.639413295E0
1.333601250E0,-2.260743486E0,6.973004933E-1,3.667570416E0,4.364431446E0
1.343675250E0,-2.905683771E0,3.690445601E0,2.396398159E0,5.273055191E0
1.353748250E0,-5.848706692E-1,3.999273312E0,5.709265217E-1,4.081937998E0
1.363822250E0,2.207969441E0,2.566679457E0,-6.824881804E-1,3.453804078E0
1.373895250E0,3.962271547E0,1.105703217E0,-9.167682776E-1,4.214574651E0
1.383969250E0,6.308529977E0,-1.747256210E-1,-8.626309544E-1,6.369631989E0
1.394042250E0,6.562296213E0,-1.514737295E0,-1.190758570E0,6.839303081E0
1.404116250E0,3.107275887E0,-3.101983279E0,-2.321268308E0,4.966462550E0
1.414189250E0,-2.029900675E0,-4.638148280E0,-5.630964568E0,7.572362787E0
1.424262250E0,-6.429855609E0,-3.909747763E0,-5.544756728E0,9.347379199E0
1.434336250E0,-9.329360628E0,-1.805318477E0,-1.724479844E0,9.657638182E0
1.444409250E0,-9.863814265E0,-1.106696659E0,1.575321758E0,1.004993771E1
1.454483250E0,-9.775246489E0,4.687636775E-1,1.808657237E0,9.952207007E0
